Name,FileNameCy5,FileNameCy3,Cy3,Cy5,Time,Stage
3,10066_cy5_block3.txt,10066_cy3_block3.txt,ref,con,4,adult
6,10041_cy5_block2.txt,10041_cy3_block2.txt,ref,con,3,adult
7,10041_cy5_block3.txt,10041_cy3_block3.txt,ref,con,4,adult
10,10037_cy5_block2.txt,10037_cy3_block2.txt,ref,con,3,adult
11,10037_cy5_block3.txt,10037_cy3_block3.txt,ref,ld,4,adult
12,10037_cy5_block4.txt,10037_cy3_block4.txt,ref,con,4,adult
14,10038_cy5_block2.txt,10038_cy3_block2.txt,ref,ld,4,adult
15,10038_cy5_block3.txt,10038_cy3_block3.txt,ref,ld,4,adult
17,10040_cy5_block1.txt,10040_cy3_block1.txt,ref,con,3,adult
18,10040_cy5_block2.txt,10040_cy3_block2.txt,ref,con,3,adult
19,10040_cy5_block3.txt,10040_cy3_block3.txt,ref,ld,3,adult
